Country,Week,Date,First death,Death,Death per 1 million,Lagged death per 1 million,Cases,Lagged cases,Cases per 1 million,Lagged cases per 1 million,Total Tests,Weakly Test,Weakly Tests per 1 millon,Stringency Index,First Lag Stringency Index,Second Lag Stringency Index,Population,UHC service coverage index,Population 65 and above,Smoking,Diabetes,"Mortality from CVD, cancer, diabetes or CRD",Unemployment,GHS Index,GHS Rapid response,GHS Health system,GHS Risk environment,Households with internet,Mobile subscriptions,Doctors,Nurses and midwives,Hospital beds,Capacity to isolate patients,Universal healthcare coverage,Health expenditure,Government effectiveness,Orderly transfers of power,Risk of social unrest,Risk of terrorism,Armed conflict,Government territorial control,International tensions,Poverty,Confidence in government,Urban population,Life expectancy,Government health expenditure,GDP per capita,Human Development Index,Democracy Index,Peace Index,Corruption Index,Rule of Law Index,Constraints on Government Powers,Absence of Corruption,Open Government,Fundamental Rights,Order and Security,Regulatory Enforcement,Civil Justice,Criminal Justice
Dominican Republic,3,20200407,20200317,44,4.14,3.39,927,589,87.23,55.42,,,,85.71,86,76,10627165,74,7.1,13.7,8.6,19,5.9,38.3,47.3,16.1,59.3,63.9,81.4,149.4,133.4,160,0,1,418,1,2,3,4,4,2,2,0.4,1,80.3,73.86,428,7470,0.7,6.5,3,30,0.48,0.47,0.39,0.53,0.58,0.63,0.42,0.45,0.36
Dominican Republic,4,20200414,20200317,91,8.56,4.14,1339,927,126,87.23,,,,85.71,86,86,10627165,74,7.1,13.7,8.6,19,5.9,38.3,47.3,16.1,59.3,63.9,81.4,149.4,133.4,160,0,1,418,1,2,3,4,4,2,2,0.4,1,80.3,73.86,428,7470,0.7,6.5,3,30,0.48,0.47,0.39,0.53,0.58,0.63,0.42,0.45,0.36
Ecuador,1,20200323,20200316,5,0.29,0.06,495,22,28.97,1.29,2072,2072,121,85.71,57,19,17084357,77,7.2,7.1,5.5,13,3.8,50.1,39.5,35.2,57.1,57.3,83.5,166.5,208.4,150,1,1,381.7,1,2,2,3,3,2,2,1.2,1,63.7,76.33,483,6370,0.8,6.3,3,34,0.49,0.48,0.42,0.5,0.52,0.63,0.49,0.49,0.36
Ecuador,2,20200330,20200316,1,0.06,0.29,1303,495,76.27,28.97,4219,2147,126,85.71,86,57,17084357,77,7.2,7.1,5.5,13,3.8,50.1,39.5,35.2,57.1,57.3,83.5,166.5,208.4,150,1,1,381.7,1,2,2,3,3,2,2,1.2,1,63.7,76.33,483,6370,0.8,6.3,3,34,0.49,0.48,0.42,0.5,0.52,0.63,0.49,0.49,0.36
Ecuador,3,20200406,20200316,164,9.6,0.06,1630,1303,95.41,76.27,7590,3371,197,100,86,86,17084357,77,7.2,7.1,5.5,13,3.8,50.1,39.5,35.2,57.1,57.3,83.5,166.5,208.4,150,1,1,381.7,1,2,2,3,3,2,2,1.2,1,63.7,76.33,483,6370,0.8,6.3,3,34,0.49,0.48,0.42,0.5,0.52,0.63,0.49,0.49,0.36
Ecuador,4,20200413,20200316,161,9.42,9.6,4001,1630,234.19,95.41,14826,7236,424,100,100,86,17084357,77,7.2,7.1,5.5,13,3.8,50.1,39.5,35.2,57.1,57.3,83.5,166.5,208.4,150,1,1,381.7,1,2,2,3,3,2,2,1.2,1,63.7,76.33,483,6370,0.8,6.3,3,34,0.49,0.48,0.42,0.5,0.52,0.63,0.49,0.49,0.36
Egypt,1,20200315,20200308,1,0.01,0.01,61,48,0.62,0.49,,,,0,0,0,98423595,68,5.2,25.2,17.2,27.7,11.7,39.9,45,15.7,57.5,45,105.5,81.4,143.4,160,0,1,320.1,1,2,2,2,3,2,3,0.2,1,42.7,71.48,151,2565,0.7,3.4,2.5,35,0.36,0.27,0.4,0.22,0.28,0.57,0.37,0.39,0.37
Egypt,2,20200322,20200308,8,0.08,0.01,184,61,1.87,0.62,,,,80.95,0,0,98423595,68,5.2,25.2,17.2,27.7,11.7,39.9,45,15.7,57.5,45,105.5,81.4,143.4,160,0,1,320.1,1,2,2,2,3,2,3,0.2,1,42.7,71.48,151,2565,0.7,3.4,2.5,35,0.36,0.27,0.4,0.22,0.28,0.57,0.37,0.39,0.37
Egypt,3,20200329,20200308,26,0.26,0.08,282,184,2.87,1.87,,,,95.24,81,0,98423595,68,5.2,25.2,17.2,27.7,11.7,39.9,45,15.7,57.5,45,105.5,81.4,143.4,160,0,1,320.1,1,2,2,2,3,2,3,0.2,1,42.7,71.48,151,2565,0.7,3.4,2.5,35,0.36,0.27,0.4,0.22,0.28,0.57,0.37,0.39,0.37
Egypt,4,20200405,20200308,35,0.36,0.26,494,282,5.02,2.87,,,,95.24,95,81,98423595,68,5.2,25.2,17.2,27.7,11.7,39.9,45,15.7,57.5,45,105.5,81.4,143.4,160,0,1,320.1,1,2,2,2,3,2,3,0.2,1,42.7,71.48,151,2565,0.7,3.4,2.5,35,0.36,0.27,0.4,0.22,0.28,0.57,0.37,0.39,0.37
